,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome
2958,31,services,married,tertiary,no,309,yes,yes,unknown,7,may,294,1,-1,0,unknown
3336,37,self-employed,married,secondary,no,215,yes,no,unknown,6,jun,61,1,-1,0,unknown
900,33,technician,single,secondary,no,5235,no,no,cellular,7,aug,67,3,-1,0,unknown
86,41,technician,single,secondary,no,879,no,yes,cellular,7,jul,60,4,-1,0,unknown
2950,37,entrepreneur,married,tertiary,no,836,yes,no,unknown,27,may,129,2,-1,0,unknown
689,30,technician,single,tertiary,no,60,yes,yes,unknown,7,may,306,5,-1,0,unknown
1333,31,technician,single,secondary,no,628,yes,no,unknown,12,may,1083,2,-1,0,unknown
1306,49,services,married,secondary,no,5673,no,yes,cellular,4,aug,357,3,-1,0,unknown
1761,35,technician,married,secondary,no,251,yes,yes,unknown,1,jul,128,3,-1,0,unknown
1858,34,blue-collar,married,secondary,no,622,yes,no,unknown,21,may,145,1,-1,0,unknown
4141,37,management,married,tertiary,no,0,no,no,cellular,11,mar,129,4,107,2,failure
657,64,retired,married,primary,no,43,no,no,cellular,11,mar,117,1,91,1,success
869,56,technician,married,secondary,no,150,yes,yes,cellular,11,may,102,6,349,1,failure
3552,58,retired,married,secondary,no,35,no,no,cellular,29,jul,336,7,-1,0,unknown
3926,56,retired,married,primary,no,-1,no,no,cellular,27,aug,89,23,-1,0,unknown
2282,44,blue-collar,single,primary,no,787,yes,no,unknown,30,may,570,2,-1,0,unknown
3230,32,blue-collar,single,secondary,no,2285,yes,no,unknown,14,may,413,2,-1,0,unknown
3421,65,housemaid,married,primary,no,2179,yes,no,cellular,4,sep,112,7,-1,0,unknown
2923,39,admin.,married,secondary,no,260,yes,no,cellular,17,apr,146,1,281,1,failure
1900,19,student,single,unknown,no,0,no,no,cellular,11,feb,123,3,-1,0,unknown
3854,49,technician,married,tertiary,no,1843,yes,no,cellular,25,may,269,1,-1,0,unknown
250,31,management,married,tertiary,no,395,yes,no,cellular,9,feb,155,3,-1,0,unknown
1921,43,technician,married,secondary,no,434,yes,no,unknown,5,may,117,1,-1,0,unknown
4013,39,technician,married,unknown,no,839,no,no,unknown,30,may,825,2,-1,0,unknown
619,35,technician,married,tertiary,no,7050,no,no,cellular,11,aug,222,3,182,4,success
2311,57,management,married,tertiary,no,3431,yes,no,unknown,16,may,73,1,-1,0,unknown
1140,36,management,single,tertiary,no,3875,yes,no,unknown,27,may,21,5,-1,0,unknown
687,35,blue-collar,married,primary,no,-12,yes,no,unknown,12,may,212,5,-1,0,unknown
1118,60,retired,married,secondary,no,4820,no,no,unknown,5,jun,419,1,-1,0,unknown
4428,48,blue-collar,married,unknown,no,439,yes,no,cellular,2,feb,212,1,249,2,other
1418,38,services,single,secondary,no,2253,yes,no,cellular,13,may,937,3,-1,0,unknown
3745,23,services,single,secondary,no,250,yes,no,cellular,18,may,222,1,-1,0,unknown
2200,52,services,married,secondary,no,431,no,no,cellular,26,aug,73,17,-1,0,unknown
3955,34,services,married,secondary,no,0,yes,no,cellular,14,jul,78,4,-1,0,unknown
2518,30,technician,single,secondary,no,175,no,no,cellular,25,aug,167,4,-1,0,unknown
3021,43,blue-collar,married,primary,no,60,no,no,cellular,8,may,487,2,367,2,other
4235,44,management,single,tertiary,no,1424,yes,no,cellular,8,aug,201,2,-1,0,unknown
2131,35,housemaid,married,tertiary,no,1265,yes,no,cellular,15,may,326,5,179,4,failure
921,34,management,married,tertiary,no,136,yes,no,cellular,22,apr,156,1,-1,0,unknown
518,34,management,married,tertiary,no,902,yes,no,cellular,14,may,159,1,367,2,other
1886,39,technician,divorced,secondary,no,902,yes,no,cellular,10,feb,691,2,180,5,failure
4303,46,technician,single,secondary,no,834,yes,no,cellular,11,jul,196,2,-1,0,unknown
382,59,retired,married,tertiary,no,9676,no,no,telephone,27,mar,234,2,-1,0,unknown
2765,53,retired,married,secondary,no,6095,yes,yes,cellular,14,may,410,5,-1,0,unknown
3636,36,management,divorced,tertiary,no,1057,no,no,cellular,5,feb,383,2,-1,0,unknown
3247,50,blue-collar,divorced,primary,no,1545,yes,no,cellular,20,nov,25,1,-1,0,unknown
710,46,blue-collar,married,primary,no,67,no,no,unknown,24,jun,9,1,-1,0,unknown
4259,32,services,single,secondary,no,48,yes,no,cellular,20,apr,8,3,-1,0,unknown
96,41,admin.,married,tertiary,no,5426,yes,no,unknown,14,may,149,2,-1,0,unknown
3181,33,blue-collar,married,secondary,no,331,yes,no,cellular,14,may,178,7,365,5,other
1929,46,unemployed,single,tertiary,no,705,no,no,cellular,4,feb,398,1,-1,0,unknown
2019,51,blue-collar,married,primary,no,42,yes,no,cellular,12,may,51,2,342,3,failure
682,37,self-employed,married,secondary,no,4153,yes,no,cellular,31,jul,35,16,-1,0,unknown
2731,48,blue-collar,married,secondary,no,1159,yes,yes,cellular,15,may,1181,9,-1,0,unknown
3347,36,management,married,tertiary,no,340,yes,no,cellular,20,apr,68,2,-1,0,unknown
938,37,technician,married,secondary,no,1633,yes,no,unknown,19,may,229,3,-1,0,unknown
4195,30,housemaid,single,tertiary,no,868,no,no,cellular,7,aug,387,2,-1,0,unknown
2344,37,management,married,tertiary,no,0,yes,no,unknown,3,jun,247,13,-1,0,unknown
