,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome
4404,31,management,married,tertiary,no,4945,no,no,cellular,11,aug,445,1,-1,0,unknown
1680,32,technician,single,secondary,no,0,no,no,cellular,18,aug,594,4,-1,0,unknown
1659,34,services,single,secondary,no,84,yes,no,unknown,23,may,299,1,-1,0,unknown
1010,23,student,single,secondary,no,8494,no,no,cellular,25,aug,158,2,-1,0,unknown
4051,69,retired,married,primary,no,279,no,no,telephone,12,aug,26,1,-1,0,unknown
321,37,blue-collar,married,secondary,no,-67,no,no,cellular,2,feb,157,1,-1,0,unknown
449,39,entrepreneur,married,tertiary,no,2,yes,no,cellular,17,nov,180,1,-1,0,unknown
3714,35,management,divorced,tertiary,no,434,yes,no,cellular,11,may,277,1,271,2,success
460,55,unemployed,married,tertiary,no,383,no,no,unknown,6,may,343,3,-1,0,unknown
283,42,admin.,divorced,secondary,no,63,no,no,unknown,16,may,88,6,-1,0,unknown
3812,26,blue-collar,single,primary,no,3342,yes,no,unknown,4,jun,329,4,-1,0,unknown
1193,33,blue-collar,single,secondary,no,706,yes,no,cellular,7,apr,329,1,322,1,failure
3962,52,blue-collar,married,primary,no,1331,yes,no,cellular,29,jul,213,2,-1,0,unknown
2240,50,technician,married,secondary,no,1130,yes,no,cellular,23,jul,119,2,-1,0,unknown
2321,27,services,single,secondary,no,54,yes,no,unknown,28,may,543,2,-1,0,unknown
1511,34,unemployed,single,secondary,no,0,no,no,cellular,17,nov,63,2,-1,0,unknown
465,59,housemaid,married,secondary,no,0,no,no,telephone,3,feb,722,1,99,4,failure
2468,28,admin.,single,secondary,no,1323,yes,no,unknown,3,jun,361,1,-1,0,unknown
3412,45,admin.,married,secondary,no,72,yes,yes,cellular,15,may,262,2,352,2,failure
2772,48,management,single,tertiary,no,414,no,no,cellular,21,jul,761,2,-1,0,unknown
2535,30,student,single,tertiary,no,7513,no,no,cellular,11,aug,269,2,-1,0,unknown
4154,56,self-employed,married,secondary,no,800,no,yes,cellular,9,jul,170,1,-1,0,unknown
2587,38,management,married,tertiary,no,389,yes,no,unknown,6,may,262,1,-1,0,unknown
2717,29,technician,single,tertiary,no,2325,no,no,cellular,2,feb,125,1,-1,0,unknown
2992,47,housemaid,married,secondary,no,3940,yes,no,cellular,9,nov,171,2,96,5,success
