Id,Category
4404,no
1680,yes
1659,no
1010,no
4051,no
321,no
449,no
3714,no
460,no
283,no
3812,no
1193,no
3962,no
2240,no
2321,yes
1511,no
465,no
2468,no
3412,no
2772,no
2535,no
4154,no
2587,no
2717,yes
2992,no
3517,no
4071,no
883,no
529,no
3143,no
721,no
1063,no
1495,no
626,no
1986,no
3076,no
2741,no
2049,yes
3443,no
4054,no
2032,yes
362,no
4045,no
1741,no
4053,no
1445,no
3332,no
4047,no
1117,no
1985,no
1313,no
2332,yes
1462,no
2347,no
1292,no
2599,no
2761,no
1323,no
1351,no
2684,no
2769,no
2390,no
4264,no
2657,no
1708,no
3763,no
296,no
3129,no
2007,no
462,no
3730,yes
2886,no
2253,no
2461,no
3749,no
3915,no
3786,yes
995,no
636,no
1606,no
3310,no
2123,no
1552,no
1833,no
1092,no
1875,no
727,no
2929,no
3634,no
1509,yes
3044,no
4039,no
2474,no
788,no
2163,no
2140,yes
166,no
2154,no
4162,no
3322,no
1382,no
3427,no
2358,no
4328,yes
2396,no
795,no
1152,no
1609,no
3616,no
3800,no
3448,no
4184,no
3618,no
3540,yes
3470,no
3309,no
2831,no
1625,no
3545,no
1277,yes
1046,no
1799,no
1029,no
1547,no
4022,no
1803,no
320,no
4056,no
1802,no
2003,no
3400,no
3253,no
3649,no
4350,yes
2055,yes
2544,no
1585,no
1413,no
2667,no
3216,no
281,no
102,no
2884,no
1576,no
2458,no
1964,no
436,no
3115,no
624,no
2155,no
1086,no
1925,no
2018,no
4136,no
2651,no
2949,no
485,no
3615,no
3953,no
2203,no
816,no
1108,no
1371,no
2663,no
4471,no
561,no
3469,no
3411,no
1663,yes
865,no
3221,no
2221,no
3537,no
2565,no
2489,no
1667,no
3989,no
961,no
2238,no
1974,yes
876,no
4139,no
3046,no
2729,no
1137,no
2431,yes
2767,no
970,yes
3439,no
948,no
4343,no
2659,no
859,no
2846,no
329,no
1647,no
524,no
1870,no
1888,no
1944,no
2183,no
4174,no
3161,yes
2069,no
1196,no
1132,no
2350,no
4416,yes
1897,no
2429,no
4304,no
3702,no
4292,no
200,no
3234,no
4457,no
4322,no
404,no
3828,no
421,no
483,no
2259,yes
2467,no
1356,no
3851,no
1110,no
1491,no
3356,no
3341,yes
2192,no
3831,no
173,no
2626,no
2764,no
67,no
187,no
3188,no
2317,no
1405,no
1690,no
2836,no
2656,no
2134,no
84,yes
598,no
2553,yes
369,no
817,no
411,no
4316,no
4215,yes
878,no
2969,no
1241,no
533,no
3914,yes
1199,no
3002,no
4458,yes
3798,no
1378,no
1646,no
746,no
3266,no
2085,no
4213,yes
113,no
27,no
2151,no
2738,no
2936,no
1262,no
548,no
702,yes
2964,no
957,no
303,no
2109,no
1256,no
2639,no
3137,no
298,yes
3717,no
1208,no
759,no
2149,no
1347,no
1345,no
2376,yes
2822,yes
2713,no
3757,no
655,no
2141,no
824,no
3860,no
2473,no
271,yes
4376,no
4140,no
3148,no
2827,yes
4418,no
3212,no
1522,no
2566,no
1091,no
260,no
3351,no
3413,yes
1027,no
2510,no
3643,no
1178,no
773,no
1375,no
2814,no
1133,no
3981,no
